#Software: Microsoft Log Parser
#Version: 1.0
#Date: 2012-09-22 00:19:06
#Fields: LogFilename RecordNumber ComputerName SiteID DateTime ClientIpAddress ServerIpAddress ServerPort Method ProtocolVersion ProtocolStatus SubStatus TimeTaken BytesSent BytesReceived Win32Status UriStem UriQuery UserName
d:\iislog\W3SVC\ra120921.ibl 685934 USER-2E87126D0E 830030000 2012-09-21 13:45:23 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 171 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 685938 USER-2E87126D0E 830030000 2012-09-21 13:45:24 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 304 0 171 268 301 0 /index.html - -
d:\iislog\W3SVC\ra120921.ibl 686233 USER-2E87126D0E 830030000 2012-09-21 13:45:44 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 686241 USER-2E87126D0E 830030000 2012-09-21 13:45:44 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 46 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 686244 USER-2E87126D0E 830030000 2012-09-21 13:45:45 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 686473 USER-2E87126D0E 830030000 2012-09-21 13:46:04 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 20046 0 301 1236 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 687548 USER-2E87126D0E 830030000 2012-09-21 13:47:14 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 404 0 62 0 236 64 /favicon.ico - -
d:\iislog\W3SVC\ra120921.ibl 688606 USER-2E87126D0E 830030000 2012-09-21 13:48:45 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 93 0 301 64 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 688610 USER-2E87126D0E 830030000 2012-09-21 13:48:45 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 156 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 688619 USER-2E87126D0E 830030000 2012-09-21 13:48:46 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 78 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 688620 USER-2E87126D0E 830030000 2012-09-21 13:48:46 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 688621 USER-2E87126D0E 830030000 2012-09-21 13:48:46 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 688623 USER-2E87126D0E 830030000 2012-09-21 13:48:46 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 688633 USER-2E87126D0E 830030000 2012-09-21 13:48:47 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
d:\iislog\W3SVC\ra120921.ibl 688637 USER-2E87126D0E 830030000 2012-09-21 13:48:48 58.241.55.53 112.121.167.174 80 GET HTTP/1.1 500 0 62 208 301 0 /index.php - -
